cyrillic	latin
ацето	atseto
ацетон	atseton
ацидиметрия	atsidimetriya
ацидин-пепсин	atsidin-pepsin
ацидо	atsido
ациклик	atsiklik
ацикловир	atsiklovir
ацил	atsil
ацтек	astek
ашъор	ash’or
аъзам	a’zam
аъзо	a’zo
аъзолик	a’zolik
аълам	a’lam
аъло	a’lo
аълочи	a’lochi
аъмо	a’mo
аъмол	a’mol
аъроф	a’rof
аъён	a’yon
аэрогель	aerogel
аэрозоль	aerozol
аэромобиль	aeromobil
аэронавигация	aeronavigatsiya
аэросъёмка	aerosyomka
аэрофильтр	aerofiltr
аэрофотосъёмка	aerofotosyomka
аюъютант	ayu’yutant
бабасуаль	babasual
бадфеъл	badfe’l
бадфеъллик	badfe’llik
базальт	bazalt
базидиомицет	bazidiomitset
бактериоцин	bakteriotsin
бактерицид	bakteritsid
баланоцеле	balanotsele
бальзам	balzam
бальзамлаш	balzamlash
бальма	balma
бальнео	balneo
бальнеолог	balneolog
бальнеологик	balneologik
бальнеология	balneologiya
бальнеореакция	balneoreaksiya
бальнеотерапия	balneoterapiya
бальнеотехника	balneotexnika
бальнеофизиотерапевтик	balneofizioterapevtik
бамаъни	bama’ni
бандероль	banderol
баньян	banyan
барельеф	barelyef
барикальцит	barikalsit
барицентр	baritsentr
баррель	barrel
барьер	barer
батальон	batalyon
бацилла	batsilla
бациллар	batsillar
бацилло	batsillo
баъд	ba’d
баъда	ba’da
баъдаз	ba’daz
баъзан	ba’zan
баъзи	ba’zi
баъзида	ba’zida
беккерель	bekkerel
бельведер	belveder
бельгия	belgiya
бельгиялик	belgiyalik
бельдюга	beldyuga
бельканто	belkanto
бельтинг	belting
бельфлёр	belflyor
бельэтаж	beletaj
бемаъни	bema’ni
бемаънигарчилик	bema’nigarchilik
бемаънилик	bema’nilik
бемаъно	bema’no
бемаърифат	bema’rifat
бемеъёр	beme’yor
бемоль	bemol
бенемицин	benemitsin
бенефиций	benefitsiy
бензальдегид	benzaldegid
бензилпенициллин	benzilpenitsillin
бензилцеллюлоза	benzilsellyuloza
бензофильтр	benzofiltr
бенталь	bental
бетаълим	beta’lim
бетаъриф	beta’rif
бетаъсир	beta’sir
бетель	betel
беэътибор	bee’tibor
беэътиқод	bee’tiqod
биальбуминемия	bialbuminemiya
бигумаль	bigumal
бидъат	bid’at
бидъаткор	bid’atkor
бидъатчи	bid’atchi
бикварц	bikvars
билль	bill
билфъел	bilf’el
билъакс	bil’aks
бильдаппарат	bildapparat
бильярд	bilyard
бимодуль	bimodul
бинокль	binokl
бинормаль	binormal
биогельминт	biogelmint
биогеоценоз	biogeotsenoz
биогеоценолог	biogeotsenolog
биокомпьютер	biokompyuter
биолокация	biolokatsiya
биолюминесценция	biolyuminessensiya
биомицин	biomitsin
биопестицид	biopestitsid
биофильтр	biofiltr
биоценоз	biotsenoz
биоценолог	biotsenolog
биоцикл	biotsikl
бисульф	bisulf
бицепс	bitseps
бицикл	bitsikl
бицилиндр	bitsilindr
бициллин	bitsillin
бициркуляр	bitsirkulyar
бластомицет	blastomitset
бластоцель	blastotsel
блеомицин	bleomitsin
блиц-интервью	blis-intervyu
блицтурнир	blisturnir
болонья	bolonya
большевизм	bolshevizm
большевик	bolshevik
борокальцит	borokalsit
ботриомицет	botriomitset
боцман	botsman
браконьер	brakonyer
браконьерлик	brakonerlik
брахицефалия	braxitsefaliya
брашпиль	brashpil
бромацетамид	bromatsetamid
бромацетон	bromatseton
бронеавтомобиль	broneavtomobil
броненосец	bronenosets
бронь	bron
бруссоль	brussol
бруцелла	brutsella
бруцеллёз	brutsellyoz
бруцин	brutsin
бугель	bugel
будильник	budilnik
бульбилла	bulbilla
бульбит	bulbit
бульботомия	bulbotomiya
бульвар	bulvar
бульденеж	buldenej
бульдог	buldog
бульдозер	buldozer
бульдозерчи	buldozerchi
бульдонеж	buldonej
бульон	bulon
бультерьер	bulteryer
буссоль	bussol
бутилацетат	butilatsetat
бутиленгликоль	butilenglikol
бушель	bushel
буқъа	buq’a
бьеф	byef
бюгель	byugel
бюллетень	byulleten
бюстгальтер	byustgalter
вакцина	vaksina
вакцино	vaksino
валерьянка	valeryanka
валинеъмат	valine’mat
валиномицин	valinomitsin
вальвация	valvatsiya
вальвул	valvul
вальдшнеп	valdshnep
вальс	vals
вальтерит	valterit
вальцовка	valsovka
ваниль	vanil
ванкомицин	vankomitsin
варикоцеле	varikotsele
варьете	varete
ваъда	va’da
ваъдабоз	va’daboz
ваъдабозлик	va’dabozlik
ваъдалашмоқ	va’dalashmoq
ваъдасиз	va’dasiz
ваъз	va’z
ваъз-насиҳат	va’z-nasihat
ваъзхон	va’zxon
ваъзхонлик	va’zxonlik
ваъзчи	va’zchi
вегетацион	vegetatsion
вегетация	vegetatsiya
ведомость	vedomost
вексель	veksel
вельбот	velbot
вельвет	velvet
вельвичия	velvichiya
вельзер	velzer
венепункция	venepunksiya
вензель	venzel
вентиль	ventil
вентиляцион	ventilyatsion
вентиляция	ventilyatsiya
вермишель	vermishel
верньер	vernyer
вертициллёз	vertitsillyoz
верфь	verf
вестибюль	vestibyul
вибрация	vibratsiya
виброизоляция	vibroizolyatsiya
вигонь	vigon
видеоимпульс	videoimpuls
видеофильм	videofilm
виключатель	viklyuchatel
вилькеит	vilkeit
вимпель	vimpel
виндикация	vindikatsiya
винилацетат	vinilatsetat
винилацетилен	vinilatsetilen
виньетка	vinyetka
виолончель	violonchel
висцерал	visseral
висцерит	visserit
вице-	vitse-
вице-адмирал	vitse-admiral
вице-президент	vitse-prezident
включатель	vklyuchatel
водевиль	vodevil
волость	volost
вольвокс	volvoks
волькамерия	volkameriya
вольт	volt
вольта	volta
вольтли	voltli
вольтметр	voltmetr
вольфрам	volfram
воробьевит	vorobyevit
воқеъ	voqe’
вуаль	vual
вулканизация	vulkanizatsiya
вульва	vulva
вульвит	vulvit
вульвовагинит	vulvovaginit
вульгар	vulgar
вульгаризм	vulgarizm
вульгарлаштирмоқ	vulgarlashtirmoq
вульпинит	vulpinit
вульфенит	vulfenit
вюртцит	vyurtsit
гавань	gavan
газгольдер	gazgolder
галлицизм	gallitsizm
галлюцин	gallyutsin
галлюцинация	gallyutsinatsiya
галтель	galtel
гальван	galvan
гальванизация	galvanizatsiya
гальваник	galvanik
гальванометр	galvanometr
гамильтониан	gamiltonian
гантель	gantel
гармонь	garmon
гастеромицет	gasteromitset
гастроль	gastrol
гастроль-концерт	gastrol-konsert
гастроцель	gastrotsel
гаубица	gaubitsa
гафель	gafel
гексаналь	geksanal
гексилрезорцин	geksilrezorsin
гелиоконцентратор	geliokonsentrator
гелиомобиль	geliomobil
гелиоцентризм	geliotsentrizm
гелиоцентрик	geliotsentrik
гель	gel
гельвин	gelvin
гельминт	gelmint
гельминтоз	gelmintoz
гельминтология	gelmintologiya
гемицеллюлоза	gemitsellyuloza
гемофтальм	gemoftalm
генерал-майор	general-mayor
геноцид	genotsid
гентамицин	gentamitsin
геоантиклиналь	geoantiklinal
геогельминт	geogelmint
геосинклиналь	geosinklinal
геоцентризм	geotsentrizm
геоцентрик	geotsentrik
геральдика	geraldika
герань	geran
гербицид	gerbitsid
гербицидлар	gerbitsidlar
герц	gers
герцог	gersog
гетероциклик	geterotsiklik
гиалобазальт	gialobazalt
гиацинт	giatsint
гидальго	gidalgo
гидрогель	gidrogel
гидрозоль	gidrozol
гидроимпульс	gidroimpuls
гидромелиорация	gidromelioratsiya
гидромеханизация	gidromexanizatsiya
гидромодуль	gidromodul
гидроподъёмник	gidropod’yomnik
гидропульт	gidropult
гидросальпинкс	gidrosalpinks
гидростанция	gidrostansiya
гидросульф	gidrosulf
гидрофтальм	gidroftalm
гидроцеле	gidrotsele
гидроцефалия	gidrotsefaliya
гидроциклон	gidrotsiklon
гидроцилиндр	gidrotsilindr
гидроэлектростанция	gidroelektrostansiya
гильберт	gilbert
гильдия	gildiya
гильза	gilza
гильотина	gilyotina
гименомицет	gimenomitset
гинецей	ginetsey
гиперинфляция	giperinflyatsiya
гипокотиль	gipokotil
гипостиль	gipostil
гипосульф	giposulf
гипосульфит	giposulfit
гипотеций	gipotetsiy
гипоцентр	gipotsentr
гипоциклоида	gipotsikloida
гифомицета	gifomitseta
глаголица	glagolitsa
глазурь	glazur
глауцин	glautsin
глиоксаль	glioksal
глицерин	glitserin
глицин	glitsin
глициния	glitsiniya
глицинурия	glitsinuriya
глюцин	glyutsin
гляциолог	glyatsiolog
гляциология	glyatsiologiya
гоацин	goatsin
голоцен	golotsen
гольденит	goldenit
гольмий	golmiy
гольф	golf
гольфи	golfi
гомоклиналь	gomoklinal
гомоцентрик	gomotsentrik
гомруль	gomrul
гонобобель	gonobobel
горельеф	gorelyef
горизонталь	gorizontal
горчица	gorchitsa
госпиталь	gospital
готовальний	gotovalniy
готовальня	gotovalnya
гравитация	gravitatsiya
градация	gradatsiya
грамицидин	gramitsidin
гризайль	grizayl
гриль	gril
грифель	grifel
гуашь	guash
гулраъно	gulra’no
гумбольдит	gumboldit
гусеница	gusenitsa
дактиль	daktil
дальтон	dalton
дальтонизм	daltonizm
дафъа	daf’a
дафъатан	daf’atan
даъват	da’vat
даъваткор	da’vatkor
даъватнома	da’vatnoma
даъво	da’vo
даъвогар	da’vogar
даъвогарлик	da’vogarlik
даъволашмоқ	da’volashmoq
двигатель	dvigatel
девальвация	devalvatsiya
дегазация	degazatsiya
дегенерация	degeneratsiya
дегустатция	degustatsiya
дедукция	deduksiya
дезактивация	dezaktivatsiya
дезинсекция	dezinseksiya
дезинфекция	dezinfeksiya
дезинфекцияламоқ	dezinfeksiyalamoq
декабрь	dekabr
декламация	deklamatsiya
декламациячи	deklamatsiyachi
декларация	deklaratsiya
декорация	dekoratsiya
делегация	delegatsiya
делимитация	delimitatsiya
дельта	delta
дельфин	delfin
дельфинарий	delfinariy
дельфинсимонлар	delfinsimonlar
демаркацион	demarkatsion
демаркация	demarkatsiya
демилитаризация	demilitarizatsiya
демобилизацион	demobilizatsion
демобилизация	demobilizatsiya
денатурализация	denaturalizatsiya
деноминация	denominatsiya
денонсация	denonsatsiya
депиляция	depilyatsiya
депортация	deportatsiya
дератизация	deratizatsiya
деривацион	derivatsion
деривация	derivatsiya
десикация	desikatsiya
деталь	detal
детонация	detonatsiya
дефиниция	definitsiya
дефицит	defitsit
дефляция	deflyatsiya
дефолиация	defoliatsiya
деформация	deformatsiya
дециграмм	detsigramm
децилитр	detsilitr
дециметр	detsimetr
диагональ	diagonal
диафильм	diafilm
дизель	dizel
дизель-мотор	dizel-motor
дизъюнктив	dizyunktiv
дизъюнкция	dizyunksiya
дикция	diksiya
дирекция	direksiya
дирижабль	dirijabl
дисквалификация	diskvalifikatsiya
дискриминация	diskriminatsiya
дислокация	dislokatsiya
диспропорция	disproporsiya
диссертация	dissertatsiya
диссимиляция	dissimilyatsiya
диссоциация	dissotsiatsiya
дистанцион	distansion
дистанция	distansiya
дистилляция	distillyatsiya
дифференциал	differensial
дифференциация	differensiatsiya
дифференцияламоқ	differensiyalamoq
диққат-эътибор	diqqat-e’tibor
дотация	dotatsiya
доцент	dotsent
драцена	dratsena
дрель	drel
дроссель	drossel
дубль	dubl
думпальма	dumpalma
дуэль	duel
дюбель	dyubel
дюгонь	dyugon
дюраль	dyural
жентльмен	jentlmen
женьшень	jenshen
жиноий-процессуал	jinoiy-protsessual
жиу-жицу	jiu-jitsu
жоуль	joul
зигомицет	zigomitset
зоопавильон	zoopavilyon
зооценоз	zootsenoz
зооцид	zootsid
зооцирк	zootsirk
идальго	idalgo
идентификация	identifikatsiya
изоамилацетат	izoamilatsetat
изоляцион	izolyatsion
изоляция	izolyatsiya
изоляцияламоқ	izolyatsiyalamoq
иллюминация	illyuminatsiya
иллюстрация	illyustratsiya
ильменит	ilmenit
имбециллик	imbetsillik
иммиграция	immigratsiya
иммобилизация	immobilizatsiya
импотенция	impotensiya
импровизация	improvizatsiya
импульс	impuls
инаугурация	inauguratsiya
инвентаризация	inventarizatsiya
инвентарь	inventar
инвестиция	investitsiya
ингаляция	ingalyatsiya
индексация	indeksatsiya
индометацин	indometatsin
индукцион	induksion
индукция	induksiya
индульген	indulgen
инерция	inersiya
инерцияли	inersiyali
инквизиция	inkvizitsiya
инконель	inkonel
инкорпорация	inkorporatsiya
инкубация	inkubatsiya
инновацион	innovatsion
инновация	innovatsiya
инсектицид	insektitsid
инсектофунгицид	insektofungitsid
инспекция	inspeksiya
инстарция	instarsiya
инструкция	instruksiya
инсульт	insult
инсценировка	inssenirovka
интеграция	integratsiya
интеллигенция	intelligensiya
интервенция	intervensiya
интервенциячи	intervensiyachi
интервью	intervyu
интермеццо	intermesso
интернационал	internatsional
интернационализм	internatsionalizm
интернационалист	internatsionalist
интернационалистик	internatsionalistik
интерорецепция	interoretsepsiya
интерполяцион	interpolyatsion 
интерстиций	interstitsiy
интерцессия	intersessiya
интерьер	interyer
интоксикация	intoksikatsiya
интонацион	intonatsion
интонация	intonatsiya
интуиция	intuitsiya
инфекцион	infeksion
инфекция	infeksiya
инфильтр	infiltr
инфляцион	infeksion 
инфляция	inflyatsiya
информацион	informatsion
информация	informatsiya
инцидент	insident
инцухт	insuxt
инъекция	inyeksiya
инъикос	in’ikos
ионизацион	ionizatsion
иридоциклит	iridotsiklit
иррационал	irratsional
ирригацион	irrigatsion
ирригация	irrigatsiya
итальян	italyan
итальянлар	italyanlar
итальянча	italyancha
ительмен	itelmen
июль	iyul
июнь	iyun
йог	yog
йога	yoga
йогурт	yogurt
йод	yod
йодламоқ	yodlamoq
йодли	yodli
кабель	kabel
календарь	kalendar
калька	kalka
калькаламоқ	kalkalamoq
калькуля	kalkulya
калькулятор	kalkulyator
калькуляция	kalkulyatsiya
кальций	kalsiy
канализацион	kanalizatsion
канализация	kanalizatsiya
канифоль	kanifol
канцелиярия	kanseliyariya
канцероген	kanserogen
канцлер	kansler
канцтовар	kanstovar
капельмейстер	kapelmeyster
капитализация	kapitalizatsiya
капитуляция	kapitulyatsiya
капсюль	kapsyul
карамель	karamel
картель	kartel
картечь	kartech
карусель	karusel
карьер	karyer
кассация	kassatsiya
кастрюль	kastryul
кастрюлька	kastryulka
катапульта	katapulta
католцизм	katolsizm
кафель	kafel
квалификация	kvalifikatsiya
кварц	kvars
кварцит	kvarsit
квитанция	kvitansiya
киноконцерт	kinokonsert
кинообъектив	kinoobyektiv
киносценарий	kinossenariy
киносъёмка	kinosyomka
кинофестиваль	kinofestival
кинофильм	kinofilm
кисель	kisel
китель	kitel
классификация	klassifikatsiya
классицизм	klassitsizm
князь	knyaz
коалицион	koalitsion
коалиция	koalitsiya
кобальт	kobalt
кодификация	kodifikatsiya
кокиль	kokil
коктейль	kokteyl
коллекционер	kolleksioner
коллекция	kolleksiya
коллекциячи	kolleksiyachi
колонцифра	kolonsifra
кольт	kolt
комбинация	kombinatsiya
коммерция	kommersiya
коммуникацион	kommunikatsion 
коммуникация	kommunikatsiya
коммутация	kommutatsiya
компаньон	kompanyon
компенсация	kompensatsiya
компетенция	kompetensiya
компиляция	kompilyatsiya
композицион	kompozitsion
композиция	kompozitsiya
компьютер	kompyuter
компьютерлаштирмоқ	kompyuterlashtirmoq
конвекция	konveksiya
конвенция	konvensiya
конвертация	konvertatsiya
конвульс	konvuls
конденсация	kondensatsiya
кондиционер	konditsioner
кондиция	konditsiya
конкуренция	konkurensiya
консервация	konservatsiya
консигнация	konsignatsiya
консолидация	konsolidatsiya
консоль	konsol
консорциум	konsorsium
конспирацион	konspiratsion
конспирация	konspiratsiya
констебль	konstebl
конституцион	konstitutsion
конституция	konstitutsiya
конституциявий	konstitutsiyaviy
конструкция	konstruksiya
консульт	konsult
консульта	konsulta
консультант	konsultant
консультатив	konsultativ
консультация	konsultatsiya
контрактация	kontraktatsiya
контральто	kontralto
контрацепция	kontratsepsiya
контрибуция	kontributsiya
контроль	kontrol
контрреволюцион	kontrrevolyutsion
контрреволюционер	kontrrevolyutsioner
контрреволюция	kontrrevolyutsiya
контррельс	kontrrels
конфедерация	konfederatsiya
конферансье	konferansye
конференц	konferens
конференц-зал	konferens-zal
конференция	konferensiya
конфискация	konfiskatsiya
конфронтация	konfrontatsiya
конфуций	konfutsiy
конфуцийлик	konfutsiylik
конфуцийчилик	konfutsiychilik
концентр	konsentr
концентрат	konsentrat
концентратли	konsentratli
концентрацион	konsentratsion
концентрация	konsentratsiya
концентрациялашмоқ	konsentratsiyalashmoq
концентрик	konsentrik
концепт	konsept
концепция	konsepsiya
концерн	konsern
концерт	konsert
концертмейстер	konsertmeyster
концессион	konsession
концессия	konsessiya
концлагерь	konslager
конъюгант	konyugant
конъюгат	konyugat
конъюгация	konyugatsiya
конъюнктива	konyunktiva
конъюнктивит	konyunktivit
конъюнктура	konyunktura
конъюнкция	konyunksiya
коньки	konki
конькичи	konkichi
коньюктивит	konyuktivit
коньюнктива	konyunktiva
коньюнктивит	konyunktivit
коньюнктура	konyunktura
коньяк	konyak
кооперация	kooperatsiya
кооптация	kooptatsiya
координацион	koordinatsion
координация	koordinatsiya
король	korol
корпорация	korporatsiya
корреляция	korrelyatsiya
корреспонденция	korrespondensiya
коррупция	korrupsiya
коэрцит	koersit
коэффициент	koeffitsiyent
кремация	krematsiya
кремень	kremen
кремль	kreml
крендель	krendel
криптофтальм	kriptoftalm
кристаллизация	kristallizatsiya
кровать	krovat
кроль	krol
кроманьон	kromanyon
кронциркуль	kronsirkul
ксерофтальмия	kseroftalmiya
кульмин	kulmin
кульмина	kulmina
кульминацион	kulminatsion
кульминация	kulminatsiya
культива	kultiva
культиватор	kultivator
культивация	kultivatsiya
культуризм	kulturizm
куниаль	kunial
курьер	kuryer
кьят	kyat
лаврицид	lavritsid
лагерь	lager
лактация	laktatsiya
лактобациллин	laktobatsillin
ламинация	laminatsiya
ландольфия	landolfiya
ланцет	lanset
ларвицид	larvitsid
латунь	latun
левомицетин	levomitsetin
легитимация	legitimatsiya
лейкоцитлар	leykotsitlar
лейкоцитоз	leykotsitoz
лейкоэнцефалит	leykoensefalit
лейцин	leysin
лейцит	leysit
лекция	leksiya
лецин	letsin
либерализация	liberalizatsiya
лизоцим	lizotsim
лингвофольклор	lingvofolklor
линкомицин	linkomitsin
лицей	litsey
лицензион	litsenzion
лицензия	litsenziya
лиценциат	litsensiat
локализация	lokalizatsiya
локация	lokatsiya
локомобиль	lokomobil
лосось	losos
лосьон	loson
лоцман	losman
люменисценция	lyumenissensiya
люминесцент	lyuminessent
люминесценция	lyuminessensiya
лютеций	lyutetsiy
магистраль	magistral
мадемуазель	mademuazel
мазь	maz
майонез	mayonez
майор	mayor
макрель	makrel
макрогельминт	makrogelmint
макроконцентрация	makrokonsentratsiya
макрорельеф	makrorelyef
макросъёмка	makrosyomka
макроэволюция	makroevolyutsiya
мальва	malva
мальсекко	malsekko
мальталик	maltalik
мальтоза	maltoza
мальтус	maltus
манипуляция	manipulyatsiya
маньеризм	manyerizm
маньяк	manyak
марганец	marganets
марганцовка	margansovka
марсельеза	marseleza
матрица	matritsa
мебель	mebel
мегавольт	megavolt
мегагерц	megagers
мегажоуль	megajoul
мегарельеф	megarelyef
мегацикл	megatsikl
медаль	medal
медальон	medalyon
медицина	meditsina
мезальянс	mezalyans
мезокотиль	mezokotil
мезорельеф	mezorelyef
меланокарцинома	melanokarsinoma
мелиорация	melioratsiya
мельхиор	melxior
менингоэнцефалит	meningoensefalit
менструация	menstruatsiya
меньшевизм	menshevizm
меньшевик	menshevik
меньшевист	menshevist
мергель	mergel
металлизация	metallizatsiya
метаналь	metanal
метасульф	metasulf
метациклин	metatsiklin
метацин	metatsin
метизация	metizatsiya
метилцеллюлоза	metilsellyuloza
метросальпингит	metrosalpingit
механизация	mexanizatsiya
механизациялаш	mexanizatsiyalash
механизациялашмоқ	mexanizatsiyalashmoq
механицизм	mexanitsizm
меццо-сопрано	messo-soprano
миграция	migratsiya
мигрень	migren
мизансцена	mizanssena
микровольт	mikrovolt
микроинсульт	mikroinsult
микрокалькулятор	mikrokalkulyator
микромодуль	mikromodul
микрообъект	mikroobyekt
микропроцесс	mikroprotsess
микрорайон	mikrorayon
микрорельеф	mikrorelyef
микросъёмка	mikrosyomka
микрофильм	mikrofilm
микрофтальм	mikroftalm
микроцефалия	mikrotsefaliya
микроэволюция	mikroevolyutsiya
миксомицет	miksomitset
милдью	mildyu
милитаризация	militarizatsiya
милиционер	militsioner
милиция	militsiya
милицияхона	militsiyaxona
милливольт	millivolt
миль	mil
минерализация	mineralizatsiya
миноносец	minonosets
миоцен	miotsen
мистицизм	mistitsizm
митральеза	mitralyeza
миттельшпиль	mittelshpil
мицелий	mitseliy
мицелла	mitsella
мишьяк	mishyak
мобилизацион	mobilizatsion
мобилизация	mobilizatsiya
модель	model
модельер	modelyer
модернизация	modernizatsiya
модернизацияламоқ	modernizatsiyalamoq
модильон	modilyon
модификация	modifikatsiya
модуль	modul
мойупа	moyupa
мольберт	molbert
монастирь	monastir
моновакцина	monovaksina
моноклиналь	monoklinal
монокль	monokl
монокультоура	monokultoura
монокультура	monokultura
мономицин	monomitsin
монополь	monopol
монорельс	monorels
моноцентр	monotsentr
моноцикл	monotsikl
морастель	morastel
мотель	motel
мотобатальон	motobatalyon
мотодельтаплан	motodeltaplan
мотоцикл	mototsikl
мотоциклет	mototsiklet
мотоциклетчи	mototsikletchi
мотоциклли	mototsiklli
мотоциклчи	mototsiklchi
мульда	mulda
мульти	multi
мульти-	multi-
мультимедия	multimediya
мультимиллионер	multimillioner
мультипликатор	multiplikator
мультипликацион	multiplikatsion
мультипликация	multiplikatsiya
мультицепс	multitseps
мультициклон	multitsiklon
мультсериал	multserial
мульттомоша	multtomosha
мульттўплам	multtoʻplam
мультфильм	multfilm
муниципал	munitsipal
муниципализация	munitsipalizatsiya
муниципалитет	munitsipalitet
мустье	mustye
муфель	mufel
муцин	mutsin
навигация	navigatsiya
натурализация	naturalizatsiya
национализация	natsionalizatsiya
